"","radius","emddim","delay","filename","opt_dim","opt_delay","opt_rad"
"413",2.5053361542206,2,19,"Study1D1S109T3_f0.txt",5,36,15.3493547228842
"414",NA,NA,NA,"Study1D1S109T4_f0.txt",5,36,15.3493547228842
"415",NA,NA,NA,"Study1D1S109T5_f0.txt",5,36,15.3493547228842
"416",13.5718062806007,5,23,"Study1D1S109T6_f0.txt",5,36,15.3493547228842
"417",6.66768104468148,3,31,"Study1D1S109T7_f0.txt",5,36,15.3493547228842
"418",NA,NA,NA,"Study1D1S109T8_f0.txt",5,36,15.3493547228842
"419",5.37987032035932,3,24,"Study1D1S109T9_f0.txt",5,36,15.3493547228842
"420",NA,NA,NA,"Study1D1S110T1_f0.txt",5,36,15.3493547228842
"421",NA,NA,NA,"Study1D1S110T10_f0.txt",5,36,15.3493547228842
"422",15.3462030670712,4,47,"Study1D1S110T2_f0.txt",5,36,15.3493547228842
"423",NA,NA,NA,"Study1D1S110T3_f0.txt",5,36,15.3493547228842
"424",7.5801032757588,3,34,"Study1D1S110T4_f0.txt",5,36,15.3493547228842
"425",NA,NA,NA,"Study1D1S110T5_f0.txt",5,36,15.3493547228842
"426",3.66973008892717,2,21,"Study1D1S110T6_f0.txt",5,36,15.3493547228842
"427",9.90107782859836,4,33,"Study1D1S110T7_f0.txt",5,36,15.3493547228842
"428",23.2367450780787,3,16,"Study1D1S110T8_f0.txt",5,36,15.3493547228842
"429",25.333230324737,6,30,"Study1D1S110T9_f0.txt",5,36,15.3493547228842
"430",26.9470769426939,4,45,"Study1D1S111T1_f0.txt",5,36,15.3493547228842
"431",20.8172815328984,4,16,"Study1D1S111T10_f0.txt",5,36,15.3493547228842
"432",82.3290651127186,12,34,"Study1D1S111T2_f0.txt",5,36,15.3493547228842
"433",14.957530941722,3,43,"Study1D1S111T3_f0.txt",5,36,15.3493547228842
"434",31.6364834427675,4,45,"Study1D1S111T4_f0.txt",5,36,15.3493547228842
"435",NA,NA,NA,"Study1D1S111T5_f0.txt",5,36,15.3493547228842
"436",25.4133241529866,5,28,"Study1D1S111T6_f0.txt",5,36,15.3493547228842
"437",28.171934440066,4,27,"Study1D1S111T7_f0.txt",5,36,15.3493547228842
"438",NA,NA,NA,"Study1D1S111T8_f0.txt",5,36,15.3493547228842
"439",NA,NA,NA,"Study1D1S111T9_f0.txt",5,36,15.3493547228842
"440",3.9828065508393,3,49,"Study1D1S112T1_f0.txt",5,36,15.3493547228842
"441",3.61296866886776,3,14,"Study1D1S112T10_f0.txt",5,36,15.3493547228842
"442",7.21385859194536,6,46,"Study1D1S112T2_f0.txt",5,36,15.3493547228842
"443",NA,NA,NA,"Study1D1S112T3_f0.txt",5,36,15.3493547228842
"444",7.04926218718244,6,21,"Study1D1S112T4_f0.txt",5,36,15.3493547228842
"445",4.78917914947126,4,35,"Study1D1S112T5_f0.txt",5,36,15.3493547228842
"446",4.74122782480276,4,31,"Study1D1S112T6_f0.txt",5,36,15.3493547228842
"447",7.19667715219906,6,34,"Study1D1S112T7_f0.txt",5,36,15.3493547228842
"448",4.7233628313316,4,43,"Study1D1S112T8_f0.txt",5,36,15.3493547228842
"449",9.91011290067625,7,37,"Study1D1S112T9_f0.txt",5,36,15.3493547228842
"450",13.2175852681799,5,18,"Study1D1S113T1_f0.txt",5,36,15.3493547228842
"451",NA,NA,NA,"Study1D1S113T10_f0.txt",5,36,15.3493547228842
"452",9.45144420883919,6,24,"Study1D1S113T2_f0.txt",5,36,15.3493547228842
"453",20.3999946950117,7,35,"Study1D1S113T3_f0.txt",5,36,15.3493547228842
"454",17.3917613190461,3,23,"Study1D1S113T4_f0.txt",5,36,15.3493547228842
"455",21.7970170592527,8,10,"Study1D1S113T5_f0.txt",5,36,15.3493547228842
"456",30.8258500375278,9,30,"Study1D1S113T6_f0.txt",5,36,15.3493547228842
"457",20.743692210029,6,38,"Study1D1S113T7_f0.txt",5,36,15.3493547228842
"458",NA,NA,NA,"Study1D1S113T8_f0.txt",5,36,15.3493547228842
"459",NA,NA,NA,"Study1D1S113T9_f0.txt",5,36,15.3493547228842
"460",19.7460680684937,4,40,"Study1D1S114T1_f0.txt",5,36,15.3493547228842
"461",NA,NA,NA,"Study1D1S114T10_f0.txt",5,36,15.3493547228842
"462",21.5478677236654,7,49,"Study1D1S114T2_f0.txt",5,36,15.3493547228842
"463",19.3300754380109,4,40,"Study1D1S114T3_f0.txt",5,36,15.3493547228842
"464",NA,NA,NA,"Study1D1S114T4_f0.txt",5,36,15.3493547228842
"465",18.3302460117964,5,20,"Study1D1S114T5_f0.txt",5,36,15.3493547228842
"466",14.8614284856013,4,49,"Study1D1S114T6_f0.txt",5,36,15.3493547228842
"467",18.9535291344584,4,29,"Study1D1S114T7_f0.txt",5,36,15.3493547228842
"468",8.69449702643058,5,10,"Study1D1S114T8_f0.txt",5,36,15.3493547228842
"469",25.0357141160599,5,18,"Study1D1S114T9_f0.txt",5,36,15.3493547228842
"470",34.7720940696716,7,43,"Study1D1S115T1_f0.txt",5,36,15.3493547228842
"471",23.911852319558,7,15,"Study1D1S115T10_f0.txt",5,36,15.3493547228842
"472",33.0440114598611,7,42,"Study1D1S115T2_f0.txt",5,36,15.3493547228842
"473",30.4548633479179,6,49,"Study1D1S115T3_f0.txt",5,36,15.3493547228842
"474",43.0063813563324,9,27,"Study1D1S115T4_f0.txt",5,36,15.3493547228842
"475",17.2987031574623,7,48,"Study1D1S115T5_f0.txt",5,36,15.3493547228842
"476",20.0918113082401,5,27,"Study1D1S115T6_f0.txt",5,36,15.3493547228842
"477",25.6178824698735,5,33,"Study1D1S115T7_f0.txt",5,36,15.3493547228842
"478",9.61406593575099,3,38,"Study1D1S115T8_f0.txt",5,36,15.3493547228842
"479",36.5321012425333,8,48,"Study1D1S115T9_f0.txt",5,36,15.3493547228842
"480",NA,NA,NA,"Study1D1S116T1_f0.txt",5,36,15.3493547228842
"481",NA,NA,NA,"Study1D1S116T10_f0.txt",5,36,15.3493547228842
"482",6.18345948100496,5,32,"Study1D1S116T2_f0.txt",5,36,15.3493547228842
"483",NA,NA,NA,"Study1D1S116T3_f0.txt",5,36,15.3493547228842
"484",13.0981052228137,8,42,"Study1D1S116T4_f0.txt",5,36,15.3493547228842
"485",3.06941518308442,3,22,"Study1D1S116T5_f0.txt",5,36,15.3493547228842
"486",4.70973378673912,6,21,"Study1D1S116T6_f0.txt",5,36,15.3493547228842
"487",6.62487134125026,4,41,"Study1D1S116T7_f0.txt",5,36,15.3493547228842
"488",10.2426599358335,7,12,"Study1D1S116T8_f0.txt",5,36,15.3493547228842
"489",8.70609149734368,4,31,"Study1D1S116T9_f0.txt",5,36,15.3493547228842
"490",16.3303675204268,6,22,"Study1D1S117T1_f0.txt",5,36,15.3493547228842
"491",8.09183494604137,7,43,"Study1D1S117T10_f0.txt",5,36,15.3493547228842
"492",25.5113936725006,10,23,"Study1D1S117T2_f0.txt",5,36,15.3493547228842
"493",8.01937790139562,6,45,"Study1D1S117T3_f0.txt",5,36,15.3493547228842
"494",13.163909307859,6,17,"Study1D1S117T4_f0.txt",5,36,15.3493547228842
"495",4.50956158368912,5,15,"Study1D1S117T5_f0.txt",5,36,15.3493547228842
"496",19.1158439161798,10,46,"Study1D1S117T6_f0.txt",5,36,15.3493547228842
"497",9.57042327598349,4,46,"Study1D1S117T7_f0.txt",5,36,15.3493547228842
"498",6.94869487162824,4,24,"Study1D1S117T8_f0.txt",5,36,15.3493547228842
"499",10.2727786206256,4,38,"Study1D1S117T9_f0.txt",5,36,15.3493547228842
"500",35.8334471344791,4,20,"Study1D1S118T1_f0.txt",5,36,15.3493547228842
"501",9.43323177400895,4,32,"Study1D1S118T10_f0.txt",5,36,15.3493547228842
"502",26.975222403046,3,28,"Study1D1S118T2_f0.txt",5,36,15.3493547228842
"503",41.1572614730458,9,30,"Study1D1S118T3_f0.txt",5,36,15.3493547228842
"504",26.2021356004104,3,45,"Study1D1S118T4_f0.txt",5,36,15.3493547228842
"505",27.9994195241477,4,26,"Study1D1S118T5_f0.txt",5,36,15.3493547228842
"506",29.4666758011031,5,36,"Study1D1S118T6_f0.txt",5,36,15.3493547228842
"507",23.2852060756348,3,25,"Study1D1S118T7_f0.txt",5,36,15.3493547228842
"508",15.4848447084943,3,14,"Study1D1S118T8_f0.txt",5,36,15.3493547228842
"509",28.8537891546205,5,46,"Study1D1S118T9_f0.txt",5,36,15.3493547228842
"510",7.5421640976071,3,19,"Study1D1S119T1_f0.txt",5,36,15.3493547228842
"511",1.47203384748137,2,45,"Study1D1S119T10_f0.txt",5,36,15.3493547228842
"512",14.3480711774594,7,48,"Study1D1S119T2_f0.txt",5,36,15.3493547228842
"513",11.2222583306646,4,26,"Study1D1S119T3_f0.txt",5,36,15.3493547228842
"514",NA,NA,NA,"Study1D1S119T4_f0.txt",5,36,15.3493547228842
"515",NA,NA,NA,"Study1D1S119T5_f0.txt",5,36,15.3493547228842
"516",8.15825152967679,4,43,"Study1D1S119T6_f0.txt",5,36,15.3493547228842
"517",17.394253160343,4,30,"Study1D1S119T7_f0.txt",5,36,15.3493547228842
"518",15.7362470180556,5,12,"Study1D1S119T8_f0.txt",5,36,15.3493547228842
"519",52.0569811178663,18,32,"Study1D1S119T9_f0.txt",5,36,15.3493547228842
"520",5.41353524770352,3,13,"Study1D1S120T1_f0.txt",5,36,15.3493547228842
"521",NA,NA,NA,"Study1D1S120T10_f0.txt",5,36,15.3493547228842
"522",15.5478075252946,6,20,"Study1D1S120T2_f0.txt",5,36,15.3493547228842
"523",6.11620959541052,5,16,"Study1D1S120T3_f0.txt",5,36,15.3493547228842
"524",19.5347690413562,9,49,"Study1D1S120T4_f0.txt",5,36,15.3493547228842
"525",12.8298729924245,6,22,"Study1D1S120T5_f0.txt",5,36,15.3493547228842
"526",17.5763372197264,5,23,"Study1D1S120T6_f0.txt",5,36,15.3493547228842
"527",7.272486651039,8,27,"Study1D1S120T7_f0.txt",5,36,15.3493547228842
"528",18.8319860713584,8,20,"Study1D1S120T8_f0.txt",5,36,15.3493547228842
"529",2.43599610808902,2,35,"Study1D1S120T9_f0.txt",5,36,15.3493547228842
"530",NA,NA,NA,"Study1D1S121T1_f0.txt",5,36,15.3493547228842
"531",35.7831452456243,8,49,"Study1D1S121T10_f0.txt",5,36,15.3493547228842
"532",NA,NA,NA,"Study1D1S121T2_f0.txt",5,36,15.3493547228842
"533",14.4150972390463,4,22,"Study1D1S121T3_f0.txt",5,36,15.3493547228842
"534",NA,NA,NA,"Study1D1S121T4_f0.txt",5,36,15.3493547228842
"535",NA,NA,NA,"Study1D1S121T5_f0.txt",5,36,15.3493547228842
"536",NA,NA,NA,"Study1D1S121T6_f0.txt",5,36,15.3493547228842
"537",NA,NA,NA,"Study1D1S121T7_f0.txt",5,36,15.3493547228842
"538",9.9699729642621,6,13,"Study1D1S121T8_f0.txt",5,36,15.3493547228842
"539",11.8838135162656,3,42,"Study1D1S121T9_f0.txt",5,36,15.3493547228842
"540",6.68420474842536,4,24,"Study1D1S122T1_f0.txt",5,36,15.3493547228842
"541",1.91088083046732,2,45,"Study1D1S122T10_f0.txt",5,36,15.3493547228842
"542",12.360134932868,6,49,"Study1D1S122T2_f0.txt",5,36,15.3493547228842
"543",4.69592703330756,4,47,"Study1D1S122T3_f0.txt",5,36,15.3493547228842
"544",6.94253014510128,3,49,"Study1D1S122T4_f0.txt",5,36,15.3493547228842
"545",4.06249839720881,5,38,"Study1D1S122T5_f0.txt",5,36,15.3493547228842
"546",12.0294771403306,6,49,"Study1D1S122T6_f0.txt",5,36,15.3493547228842
"547",13.5547780192333,7,33,"Study1D1S122T7_f0.txt",5,36,15.3493547228842
"548",NA,NA,NA,"Study1D1S122T8_f0.txt",5,36,15.3493547228842
"549",11.7132624306256,6,34,"Study1D1S122T9_f0.txt",5,36,15.3493547228842
"550",NA,NA,NA,"Study1D1S123T1_f0.txt",5,36,15.3493547228842
"551",NA,NA,NA,"Study1D1S123T10_f0.txt",5,36,15.3493547228842
"552",NA,NA,NA,"Study1D1S123T2_f0.txt",5,36,15.3493547228842
"553",NA,NA,NA,"Study1D1S123T3_f0.txt",5,36,15.3493547228842
"554",23.5658563852996,8,14,"Study1D1S123T4_f0.txt",5,36,15.3493547228842
"555",NA,NA,NA,"Study1D1S123T5_f0.txt",5,36,15.3493547228842
"556",NA,NA,NA,"Study1D1S123T6_f0.txt",5,36,15.3493547228842
"557",19.6979077411638,6,18,"Study1D1S123T7_f0.txt",5,36,15.3493547228842
"558",NA,NA,NA,"Study1D1S123T8_f0.txt",5,36,15.3493547228842
"559",74.1813270319272,12,48,"Study1D1S123T9_f0.txt",5,36,15.3493547228842
"560",9.11757759523913,3,11,"Study1D1S124T1_f0.txt",5,36,15.3493547228842
"561",10.4888658342073,5,16,"Study1D1S124T10_f0.txt",5,36,15.3493547228842
"562",NA,NA,NA,"Study1D1S124T2_f0.txt",5,36,15.3493547228842
"563",8.20349937480606,4,32,"Study1D1S124T3_f0.txt",5,36,15.3493547228842
"564",NA,NA,NA,"Study1D1S124T4_f0.txt",5,36,15.3493547228842
"565",NA,NA,NA,"Study1D1S124T5_f0.txt",5,36,15.3493547228842
"566",30.4208623288994,14,18,"Study1D1S124T6_f0.txt",5,36,15.3493547228842
"567",8.32771931328183,4,26,"Study1D1S124T7_f0.txt",5,36,15.3493547228842
